                 t         prod_1         prod_2         prod_3         prod_4         prod_5
105       8.409531    5814.770010    5814.770010    5814.770010    5814.770010    5814.770010
106       8.489622    5869.626331    5869.626331    5869.626331    5869.626331    5869.626331
107       8.569712    5924.482652    5924.482652    5924.482652    5924.482652    5924.482652
108       8.649803    5979.338972    5979.338972    5979.338972    5979.338972    5979.338972
109       8.729894    6034.195293    6034.195293    6034.195293    6034.195293    6034.195293
110       8.809985    6089.051614    6089.051614    6089.051614    6089.051614    6089.051614
111       8.890075    6143.907935    6143.907935    6143.907935    6143.907935    6143.907935
112       8.970166    6198.764256    6198.764256    6198.764256    6198.764256    6198.764256
113       9.050257    6253.620577    6253.620577    6253.620577    6253.620577    6253.620577
114       9.130348    6308.476898    6308.476898    6308.476898    6308.476898    6308.476898
115       9.210438    6363.333218    6363.333218    6363.333218    6363.333218    6363.333218
116       9.290529    6418.189539    6418.189539    6418.189539    6418.189539    6418.189539
117       9.370620    6473.045860    6473.045860    6473.045860    6473.045860    6473.045860
118       9.450711    6527.902181    6527.902181    6527.902181    6527.902181    6527.902181
119       9.530802    6582.758502    6582.758502    6582.758502    6582.758502    6582.758502
120       9.610892    6637.614823    6637.614823    6637.614823    6637.614823    6637.614823
121       9.690983    6692.471143    6692.471143    6692.471143    6692.471143    6692.471143
122       9.771074    6747.327464    6747.327464    6747.327464    6747.327464    6747.327464
123       9.851165    6802.183785    6802.183785    6802.183785    6802.183785    6802.183785
124       9.931255    6857.040106    6857.040106    6857.040106    6857.040106    6857.040106
125      10.011346    6911.896427    6911.896427    6911.896427    6911.896427    6911.896427
126      10.091437    6966.752748    6966.752748    6966.752748    6966.752748    6966.752748
127      10.171528    7021.609069    7021.609069    7021.609069    7021.609069    7021.609069
128      10.251619    7076.465389    7076.465389    7076.465389    7076.465389    7076.465389
129      10.331709    7131.321710    7131.321710    7131.321710    7131.321710    7131.321710
130      10.411800    7186.178031    7186.178031    7186.178031    7186.178031    7186.178031
131      10.491891    7241.034352    7241.034352    7241.034352    7241.034352    7241.034352
132      10.571982    7295.890673    7295.890673    7295.890673    7295.890673    7295.890673
133      10.652072    7350.746994    7350.746994    7350.746994    7350.746994    7350.746994
134      10.732163    7405.603314    7405.603314    7405.603314    7405.603314    7405.603314
135      10.812254    7460.459635    7460.459635    7460.459635    7460.459635    7460.459635
136      10.892345    7515.315956    7515.315956    7515.315956    7515.315956    7515.315956
137      10.972435    7570.172277    7570.172277    7570.172277    7570.172277    7570.172277
138      11.052526    7625.028598    7625.028598    7625.028598    7625.028598    7625.028598
139      11.132617    7679.884919    7679.884919    7679.884919    7679.884919    7679.884919
140      11.212708    7734.741240    7734.741240    7734.741240    7734.741240    7734.741240
141      11.292799    7789.597560    7789.597560    7789.597560    7789.597560    7789.597560
142      11.372889    7844.453881    7844.453881    7844.453881    7844.453881    7844.453881
143      11.452980    7899.310202    7899.310202    7899.310202    7899.310202    7899.310202
144      11.533071    7954.166523    7954.166523    7954.166523    7954.166523    7954.166523
145      11.613162    8009.022844    8009.022844    8009.022844    8009.022844    8009.022844
146      11.693252    8063.879165    8063.879165    8063.879165    8063.879165    8063.879165
147      11.773343    8118.735485    8118.735485    8118.735485    8118.735485    8118.735485
148      11.853434    8173.591806    8173.591806    8173.591806    8173.591806    8173.591806
149      11.933525    8228.448127    8228.448127    8228.448127    8228.448127    8228.448127
150      12.013615    8283.304448    8283.304448    8283.304448    8283.304448    8283.304448
151      12.093706    8338.160769    8338.160769    8338.160769    8338.160769    8338.160769
152      12.173797    8393.017090    8393.017090    8393.017090    8393.017090    8393.017090
153      12.253888    8447.873411    8447.873411    8447.873411    8447.873411    8447.873411
154      12.333979    8502.729731    8502.729731    8502.729731    8502.729731    8502.729731
155      12.414069    8557.586052    8557.586052    8557.586052    8557.586052    8557.586052
156      12.494160    8612.442373    8612.442373    8612.442373    8612.442373    8612.442373
157      12.574251    8667.298694    8667.298694    8667.298694    8667.298694    8667.298694
158      12.654342    8722.155015    8722.155015    8722.155015    8722.155015    8722.155015
159      12.734432    8777.011336    8777.011336    8777.011336    8777.011336    8777.011336
160      12.814523    8831.867657    8831.867657    8831.867657    8831.867657    8831.867657
161      12.894614    8886.723977    8886.723977    8886.723977    8886.723977    8886.723977
162      12.974705    8941.580298    8941.580298    8941.580298    8941.580298    8941.580298
163      13.054795    8996.436619    8996.436619    8996.436619    8996.436619    8996.436619
164      13.134886    9051.292940    9051.292940    9051.292940    9051.292940    9051.292940
165      13.214977    9106.149261    9106.149261    9106.149261    9106.149261    9106.149261
166      13.295068    9161.005582    9161.005582    9161.005582    9161.005582    9161.005582
167      13.375159    9215.861902    9215.861902    9215.861902    9215.861902    9215.861902
168      13.455249    9270.718223    9270.718223    9270.718223    9270.718223    9270.718223
169      13.535340    9325.574544    9325.574544    9325.574544    9325.574544    9325.574544
170      13.615431    9380.430865    9380.430865    9380.430865    9380.430865    9380.430865
171      13.695522    9435.287186    9435.287186    9435.287186    9435.287186    9435.287186
172      13.775612    9490.143507    9490.143507    9490.143507    9490.143507    9490.143507
173      13.855703    9544.999828    9544.999828    9544.999828    9544.999828    9544.999828
174      13.935794    9599.856148    9599.856148    9599.856148    9599.856148    9599.856148
175      14.015885    9654.712469    9654.712469    9654.712469    9654.712469    9654.712469
176      14.095975    9709.568790    9709.568790    9709.568790    9709.568790    9709.568790
177      14.176066    9764.425111    9764.425111    9764.425111    9764.425111    9764.425111
178      14.256157    9819.281432    9819.281432    9819.281432    9819.281432    9819.281432
179      14.336248    9874.137753    9874.137753    9874.137753    9874.137753    9874.137753
180      14.416339    9928.994073    9928.994073    9928.994073    9928.994073    9928.994073
181      14.496429    9983.850394    9983.850394    9983.850394    9983.850394    9983.850394
182      14.576520   10038.706715   10038.706715   10038.706715   10038.706715   10038.706715
183      14.656611   10093.563036   10093.563036   10093.563036   10093.563036   10093.563036
