               t         prod_1         prod_2         prod_3         prod_4
4983  399.158905  273416.000000  273407.843750  273408.593750  273407.500000
4984  399.239014  273470.843750  273462.781250  273463.562500  273462.343750
4985  399.319122  273525.687500  273517.656250  273518.406250  273517.218750
4986  399.399231  273580.500000  273572.531250  273573.312500  273572.093750
4987  399.479309  273635.375000  273627.312500  273628.187500  273626.906250
4988  399.559418  273690.187500  273682.187500  273682.968750  273681.750000
4989  399.639526  273745.031250  273736.937500  273737.906250  273736.593750
4990  399.719635  273799.843750  273791.781250  273792.812500  273791.437500
4991  399.799744  273854.750000  273846.625000  273847.656250  273846.281250
4992  399.879852  273909.625000  273901.531250  273902.531250  273901.187500
4993  399.959961  273964.500000  273956.375000  273957.437500  273956.093750
4994  400.040039  274019.343750  274011.187500  274012.312500  274010.968750
4995  400.120148  274074.156250  274066.031250  274067.187500  274065.843750
4996  400.200256  274129.000000  274120.875000  274122.125000  274120.656250
4997  400.280365  274183.875000  274175.812500  274176.968750  274175.437500
4998  400.360474  274238.750000  274230.687500  274231.812500  274230.281250
4999  400.440582  274293.593750  274285.500000  274286.656250  274285.156250
5000  400.520660  274348.500000  274340.375000  274341.531250  274340.031250
5001  400.600769  274403.343750  274395.281250  274396.437500  274394.875000
5002  400.680878  274458.125000  274450.125000  274451.375000  274449.718750
5003  400.760986  274513.031250  274505.062500  274506.218750  274504.562500
5004  400.841095  274567.906250  274559.937500  274561.093750  274559.375000
5005  400.921204  274622.750000  274614.812500  274615.937500  274614.250000
5006  401.001312  274677.562500  274669.656250  274670.812500  274669.125000
5007  401.081390  274732.437500  274724.531250  274725.687500  274724.000000
5008  401.161499  274787.312500  274779.437500  274780.531250  274778.843750
5009  401.241608  274842.187500  274834.281250  274835.375000  274833.750000
5010  401.321716  274897.156250  274889.187500  274890.187500  274888.656250
5011  401.401825  274952.000000  274944.031250  274945.031250  274943.593750
5012  401.481934  275006.875000  274998.843750  274999.812500  274998.468750
5013  401.562042  275061.750000  275053.843750  275054.625000  275053.343750
5014  401.642120  275116.656250  275108.781250  275109.437500  275108.125000
5015  401.722229  275171.593750  275163.687500  275164.343750  275162.937500
5016  401.802338  275226.406250  275218.531250  275219.218750  275217.781250
5017  401.882446  275281.281250  275273.406250  275274.093750  275272.625000
5018  401.962555  275336.156250  275328.250000  275328.968750  275327.500000
5019  402.042664  275391.031250  275383.156250  275383.812500  275382.406250
5020  402.122772  275445.906250  275437.968750  275438.718750  275437.281250
5021  402.202850  275500.781250  275492.812500  275493.531250  275492.218750
5022  402.282959  275555.656250  275547.718750  275548.375000  275547.062500
5023  402.363068  275610.500000  275602.531250  275603.281250  275601.906250
5024  402.443176  275665.375000  275657.406250  275658.187500  275656.812500
5025  402.523285  275720.250000  275712.281250  275713.031250  275711.625000
5026  402.603394  275775.093750  275767.125000  275767.906250  275766.531250
5027  402.683472  275829.968750  275821.937500  275822.718750  275821.406250
5028  402.763580  275884.781250  275876.750000  275877.593750  275876.250000
5029  402.843689  275939.687500  275931.562500  275932.437500  275931.093750
5030  402.923798  275994.531250  275986.375000  275987.250000  275985.906250
5031  403.003906  276049.375000  276041.218750  276042.156250  276040.875000
5032  403.084015  276104.250000  276096.062500  276097.031250  276095.750000
5033  403.164124  276159.125000  276150.937500  276151.937500  276150.593750
5034  403.244202  276213.968750  276205.812500  276206.875000  276205.437500
5035  403.324310  276268.843750  276260.687500  276261.687500  276260.281250
5036  403.404419  276323.718750  276315.531250  276316.625000  276315.125000
5037  403.484528  276378.562500  276370.375000  276371.468750  276370.000000
5038  403.564636  276433.406250  276425.250000  276426.281250  276424.843750
5039  403.644745  276488.312500  276480.093750  276481.187500  276479.656250
5040  403.724854  276543.125000  276534.937500  276536.062500  276534.500000
5041  403.804932  276598.000000  276589.781250  276590.875000  276589.343750
5042  403.885040  276652.875000  276644.750000  276645.656250  276644.187500
5043  403.965149  276707.750000  276699.562500  276700.531250  276698.968750
5044  404.045258  276762.593750  276754.343750  276755.406250  276753.843750
5045  404.125366  276817.406250  276809.218750  276810.218750  276808.718750
5046  404.205475  276872.250000  276864.000000  276865.031250  276863.531250
5047  404.285583  276927.062500  276918.875000  276919.875000  276918.437500
5048  404.365662  276981.937500  276973.812500  276974.687500  276973.312500
5049  404.445770  277036.812500  277028.687500  277029.531250  277028.156250
5050  404.525879  277091.656250  277083.562500  277084.406250  277083.031250
5051  404.605988  277146.500000  277138.375000  277139.250000  277137.968750
5052  404.686096  277201.343750  277193.218750  277194.125000  277192.781250
5053  404.766205  277256.218750  277248.062500  277248.968750  277247.687500
5054  404.846283  277311.062500  277302.968750  277303.812500  277302.531250
5055  404.926392  277365.906250  277357.843750  277358.625000  277357.437500
5056  405.006500  277420.750000  277412.687500  277413.468750  277412.312500
5057  405.086609  277475.593750  277467.468750  277468.312500  277467.218750
5058  405.166718  277530.468750  277522.312500  277523.187500  277522.125000
5059  405.246826  277585.343750  277577.093750  277578.093750  277576.968750
5060  405.326935  277640.218750  277631.968750  277632.937500  277631.906250
5061  405.407013  277695.031250  277686.812500  277687.812500  277686.687500
5062  405.487122  277749.906250  277741.687500  277742.687500  277741.562500
5063  405.567230  277804.781250  277796.562500  277797.562500  277796.437500
5064  405.647339  277859.625000  277851.406250  277852.406250  277851.312500
5065  405.727448  277914.468750  277906.281250  277907.218750  277906.187500
5066  405.807556  277969.343750  277961.093750  277962.062500  277961.031250
5067  405.887665  278024.312500  278015.937500  278016.906250  278015.843750
5068  405.967743  278079.125000  278070.781250  278071.750000  278070.656250
5069  406.047852  278133.968750  278125.656250  278126.593750  278125.500000
5070  406.127960  278188.812500  278180.437500  278181.468750  278180.375000
5071  406.208069  278243.656250  278235.312500  278236.343750  278235.187500
5072  406.288177  278298.500000  278290.093750  278291.218750  278290.000000
5073  406.368286  278353.343750  278344.968750  278346.031250  278344.843750
5074  406.448395  278408.187500  278399.812500  278400.906250  278399.687500
5075  406.528473  278463.062500  278454.656250  278455.781250  278454.500000
5076  406.608582  278517.906250  278509.562500  278510.593750  278509.406250
5077  406.688690  278572.781250  278564.406250  278565.437500  278564.218750
5078  406.768799  278627.656250  278619.250000  278620.312500  278619.093750
5079  406.848907  278682.531250  278674.187500  278675.187500  278673.906250
5080  406.929016  278737.406250  278729.062500  278730.000000  278728.812500
5081  407.009125  278792.250000  278783.937500  278784.906250  278783.718750
5082  407.089203  278847.093750  278838.781250  278839.718750  278838.562500
5083  407.169312  278901.937500  278893.656250  278894.562500  278893.406250
5084  407.249420  278956.781250  278948.562500  278949.375000  278948.218750
5085  407.329529  279011.593750  279003.437500  279004.218750  279003.062500
5086  407.409637  279066.468750  279058.281250  279059.093750  279057.906250
5087  407.489746  279121.312500  279113.187500  279113.937500  279112.750000
5088  407.569824  279176.125000  279168.031250  279168.781250  279167.656250
5089  407.649933  279231.000000  279222.875000  279223.750000  279222.468750
5090  407.730042  279285.937500  279277.687500  279278.593750  279277.281250
5091  407.810150  279340.812500  279332.593750  279333.531250  279332.125000
5092  407.890259  279395.656250  279387.500000  279388.406250  279387.062500
5093  407.970367  279450.500000  279442.343750  279443.187500  279441.937500
5094  408.050476  279505.343750  279497.218750  279498.093750  279496.781250
5095  408.130554  279560.218750  279552.031250  279552.968750  279551.718750
5096  408.210663  279615.093750  279606.968750  279607.812500  279606.593750
5097  408.290771  279669.937500  279661.781250  279662.718750  279661.437500
5098  408.370880  279724.906250  279716.562500  279717.625000  279716.250000
5099  408.450989  279779.750000  279771.437500  279772.437500  279771.031250
5100  408.531097  279834.593750  279826.281250  279827.312500  279825.968750
5101  408.611206  279889.468750  279881.187500  279882.156250  279880.875000
5102  408.691284  279944.312500  279936.093750  279937.000000  279935.781250
5103  408.771393  279999.156250  279991.000000  279991.875000  279990.625000
5104  408.851501  280054.000000  280045.843750  280046.750000  280045.468750
5105  408.931610  280108.906250  280100.781250  280101.625000  280100.343750
5106  409.011719  280163.718750  280155.656250  280156.500000  280155.250000
5107  409.091827  280218.562500  280210.531250  280211.281250  280210.187500
5108  409.171936  280273.468750  280265.406250  280266.156250  280265.093750
5109  409.252014  280328.343750  280320.281250  280320.968750  280320.031250
5110  409.332123  280383.281250  280375.062500  280375.812500  280374.875000
5111  409.412231  280438.156250  280430.000000  280430.718750  280429.781250
5112  409.492340  280493.031250  280484.781250  280485.562500  280484.625000
5113  409.572449  280547.875000  280539.687500  280540.437500  280539.531250
5114  409.652557  280602.718750  280594.468750  280595.312500  280594.375000
5115  409.732635  280657.593750  280649.250000  280650.187500  280649.187500
5116  409.812744  280712.531250  280704.062500  280705.062500  280704.062500
5117  409.892853  280767.468750  280758.937500  280759.906250  280758.937500
5118  409.972961  280822.343750  280813.843750  280814.718750  280813.906250
5119  410.053070  280877.218750  280868.718750  280869.593750  280868.750000
5120  410.133179  280932.062500  280923.531250  280924.437500  280923.593750
5121  410.213287  280986.968750  280978.406250  280979.281250  280978.437500
5122  410.293365  281041.875000  281033.250000  281034.187500  281033.250000
5123  410.373474  281096.687500  281088.125000  281089.062500  281088.125000
5124  410.453583  281151.531250  281142.968750  281144.000000  281143.000000
5125  410.533691  281206.343750  281197.843750  281198.843750  281197.875000
5126  410.613800  281261.187500  281252.718750  281253.718750  281252.812500
5127  410.693909  281316.000000  281307.531250  281308.562500  281307.687500
5128  410.774017  281370.875000  281362.406250  281363.468750  281362.531250
5129  410.854095  281425.781250  281417.250000  281418.312500  281417.375000
5130  410.934204  281480.593750  281472.156250  281473.156250  281472.187500
5131  411.014313  281535.437500  281527.000000  281528.062500  281527.062500
5132  411.094421  281590.312500  281581.968750  281582.906250  281581.968750
5133  411.174530  281645.250000  281636.781250  281637.843750  281636.781250
5134  411.254639  281700.187500  281691.625000  281692.656250  281691.750000
5135  411.334747  281755.062500  281746.500000  281747.562500  281746.687500
5136  411.414825  281809.906250  281801.406250  281802.406250  281801.500000
5137  411.494934  281864.812500  281856.187500  281857.250000  281856.312500
5138  411.575043  281919.625000  281911.062500  281912.187500  281911.093750
5139  411.655151  281974.437500  281965.937500  281967.000000  281965.968750
5140  411.735260  282029.281250  282020.750000  282021.906250  282020.906250
5141  411.815369  282084.156250  282075.656250  282076.750000  282075.718750
5142  411.895477  282139.000000  282130.562500  282131.656250  282130.562500
5143  411.975555  282193.937500  282185.406250  282186.500000  282185.437500
5144  412.055664  282248.718750  282240.218750  282241.375000  282240.218750
5145  412.135773  282303.656250  282295.062500  282296.250000  282295.093750
5146  412.215881  282358.468750  282349.937500  282351.093750  282349.968750
5147  412.295990  282413.281250  282404.750000  282405.906250  282404.781250
5148  412.376099  282468.093750  282459.656250  282460.781250  282459.656250
5149  412.456177  282523.000000  282514.468750  282515.625000  282514.468750
5150  412.536285  282577.875000  282569.343750  282570.437500  282569.312500
5151  412.616394  282632.750000  282624.187500  282625.312500  282624.156250
5152  412.696503  282687.593750  282679.093750  282680.156250  282678.937500
