          x      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4           C_1           C_2           C_3           C_4
104   520.0  0.470582  227.557816  0.693410  411.508514  0.724714  619.779236  0.724938  577.166504  1.146394e-05  4.754430e+02  1.573878e+00  2.193931e-10
105   525.0  0.470555  226.235001  0.691706  404.300598  0.724654  619.313904  0.724808  576.716919  5.876164e-06  4.704446e+02  2.080835e+00  4.121251e-10
106   530.0  0.470528  224.912094  0.689861  397.154999  0.724730  618.843445  0.724754  576.267151  2.975815e-06  4.646414e+02  2.727141e+00  7.670538e-10
107   535.0  0.470500  223.589096  0.687861  390.085022  0.724648  618.366333  0.724704  575.817322  1.488652e-06  4.579815e+02  3.543219e+00  1.414688e-09
108   540.0  0.470472  222.266006  0.685687  383.105042  0.724596  617.880798  0.724719  575.367432  7.354640e-07  4.504176e+02  4.564304e+00  2.585905e-09
109   545.0  0.470442  220.942841  0.683322  376.230255  0.724473  617.384766  0.724755  574.917603  3.587500e-07  4.419099e+02  5.829975e+00  4.684756e-09
110   550.0  0.470413  219.619583  0.680744  369.476685  0.724455  616.875854  0.724610  574.467590  1.727174e-07  4.324285e+02  7.384857e+00  8.411369e-09
111   555.0  0.470382  218.296280  0.677933  362.860992  0.724390  616.351257  0.724640  574.017517  8.203612e-08  4.219557e+02  9.277824e+00  1.497107e-08
112   560.0  0.470350  216.972885  0.674860  356.400360  0.724372  615.807678  0.724527  573.567383  3.842046e-08  4.104870e+02  1.156192e+01  2.641337e-08
113   565.0  0.470318  215.649384  0.671496  350.112152  0.724299  615.241394  0.724671  573.117249  1.772982e-08  3.980331e+02  1.429352e+01  4.620895e-08
114   570.0  0.470283  214.325806  0.667809  344.013794  0.724222  614.648010  0.724546  572.667114  8.054440e-09  3.846212e+02  1.753176e+01  8.014438e-08
115   575.0  0.470245  213.002090  0.663760  338.122437  0.724183  614.022766  0.724536  572.216858  3.597814e-09  3.702936e+02  2.133745e+01  1.378307e-07
116   580.0  0.470200  211.678223  0.659304  332.454956  0.724093  613.360229  0.724487  571.766541  1.577686e-09  3.551094e+02  2.577127e+01  2.350402e-07
117   585.0  0.470136  210.354218  0.654406  327.027588  0.723978  612.654297  0.724466  571.316101  6.776914e-10  3.391428e+02  3.089278e+01  3.974895e-07
118   590.0  0.470025  209.029968  0.649072  321.856140  0.723892  611.898560  0.724316  570.865479  2.842730e-10  3.224829e+02  3.675891e+01  6.666040e-07
119   595.0  0.469793  207.705200  0.643604  316.957275  0.723799  611.085938  0.724275  570.414673  1.159257e-10  3.052366e+02  4.342173e+01  1.108828e-06
