          x     Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4            C_1            C_2           C_3            C_4 
110   550.0  0.488591  257.809343  0.725173  720.958734  0.726320  655.571997  0.726421  571.437389   1.169910e+01   1.014892e+02  1.035671e-11   4.731773e-34
111   555.0  0.484928  256.367504  0.724959  719.517370  0.726282  655.125529  0.726381  570.991105   8.956165e+00   1.152008e+02  1.972958e-11   1.275229e-33
112   560.0  0.481925  254.954410  0.724713  717.915793  0.726245  654.678990  0.726342  570.544749   6.786809e+00   1.298470e+02  3.726000e-11   3.407378e-33
113   565.0  0.479510  253.564094  0.724447  716.143590  0.726208  654.232382  0.726304  570.098320   5.092099e+00   1.453539e+02  6.976372e-11   9.027162e-33
114   570.0  0.477600  252.191586  0.724164  714.191278  0.726172  653.785707  0.726266  569.651821   3.783793e+00   1.616286e+02  1.295121e-10   2.371436e-32
115   575.0  0.476115  250.832818  0.723862  712.050464  0.726137  653.338966  0.726229  569.205252   2.785238e+00   1.785614e+02  2.384058e-10   6.177761e-32
116   580.0  0.474976  249.484523  0.723543  709.714033  0.726102  652.892159  0.726193  568.758615   2.031404e+00   1.960277e+02  4.351912e-10   1.596025e-31
117   585.0  0.474114  248.144113  0.723206  707.176297  0.726068  652.445288  0.726157  568.311912   1.468295e+00   2.138907e+02  7.878273e-10   4.089466e-31
118   590.0  0.473470  246.809575  0.722853  704.433119  0.726034  651.998354  0.726122  567.865142   1.051927e+00   2.320052e+02  1.414490e-09   1.039298e-30
119   595.0  0.472992  245.479358  0.722484  701.482002  0.726001  651.551358  0.726088  567.418309   7.470941e-01   2.502207e+02  2.518932e-09   2.619924e-30
120   600.0  0.472642  244.152289  0.722102  698.322129  0.725969  651.104302  0.726054  566.971412   5.260594e-01   2.683855e+02  4.449489e-09   6.551487e-30
121   605.0  0.472387  242.827485  0.721708  694.954377  0.725937  650.657185  0.726021  566.524452   3.672894e-01   2.863501e+02  7.796684e-09   1.625253e-29
122   610.0  0.472202  241.504295  0.721299  691.368378  0.725906  650.210010  0.725988  566.077431   2.542927e-01   3.039711e+02  1.355328e-08   3.999992e-29
123   615.0  0.472069  240.182241  0.720774  687.517201  0.725875  649.762777  0.725956  565.630351   1.745996e-01   3.211159e+02  2.337445e-08   9.767438e-29
124   620.0  0.471972  238.860976  0.720163  683.369221  0.725845  649.315488  0.725925  565.183211   1.188953e-01   3.376651e+02  3.999714e-08   2.366528e-28
125   625.0  0.471902  237.540252  0.719524  678.933916  0.725815  648.868142  0.725894  564.736013   8.030130e-02   3.535120e+02  6.791009e-08   5.689547e-28
126   630.0  0.471851  236.219890  0.718867  674.222922  0.725786  648.420742  0.725863  564.288757   5.379461e-02   3.685657e+02  1.144154e-07   1.357389e-27
127   635.0  0.471812  234.899767  0.718194  669.249397  0.725757  647.973287  0.725833  563.841446   3.574648e-02   3.827528e+02  1.912961e-07   3.213781e-27
128   640.0  0.471783  233.579795  0.717508  664.027687  0.725729  647.525779  0.725804  563.394079   2.356266e-02   3.960183e+02  3.174134e-07   7.551586e-27
129   645.0  0.471760  232.259916  0.716811  658.573029  0.725701  647.078219  0.725775  562.946657   1.540740e-02   4.083251e+02  5.227186e-07   1.761142e-26
130   650.0  0.471741  230.940086  0.716106  652.901257  0.725673  646.630608  0.725746  562.499182   9.994575e-03   4.196539e+02  8.543973e-07   4.076697e-26
131   655.0  0.471724  229.620279  0.715396  647.028517  0.725646  646.182945  0.725718  562.051654   6.431986e-03   4.300017e+02  1.386201e-06   9.367077e-26
132   660.0  0.471710  228.300475  0.714684  640.971002  0.725620  645.735232  0.725690  561.604075   4.106638e-03   4.393806e+02  2.232501e-06   2.136508e-25
133   665.0  0.471697  226.980661  0.713972  634.744714  0.725593  645.287471  0.725663  561.156444   2.601375e-03   4.478157e+02  3.569286e-06   4.837629e-25
134   670.0  0.471684  225.660829  0.713262  628.365248  0.725568  644.839660  0.725636  560.708763   1.634966e-03   4.553435e+02  5.665252e-06   1.087453e-24
135   675.0  0.471672  224.340973  0.712556  621.847615  0.725542  644.391802  0.725610  560.261032   1.019570e-03   4.620093e+02  8.927492e-06   2.426952e-24
136   680.0  0.471660  223.021090  0.711857  615.206093  0.725517  643.943897  0.725584  559.813253   6.308726e-04   4.678653e+02  1.396805e-05   5.377816e-24
137   685.0  0.471648  221.701177  0.711166  608.454117  0.725492  643.495945  0.725558  559.365425   3.873423e-04   4.729684e+02  2.170011e-05   1.183223e-23
138   690.0  0.471637  220.381232  0.710483  601.604197  0.725468  643.047948  0.725533  558.917550   2.359877e-04   4.773781e+02  3.347579e-05   2.585023e-23
139   695.0  0.471625  219.061253  0.709810  594.667875  0.725444  642.599905  0.725508  558.469628   1.426714e-04   4.811547e+02  5.128208e-05   5.608163e-23
140   700.0  0.471613  217.741240  0.709145  587.655704  0.725420  642.151817  0.725484  558.021660   8.559515e-05   4.843575e+02  7.801696e-05   1.208247e-22
